Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.039885348951687244,0.039885307345894926,-8.698312207211762e-9,0.0017713541055620668,-9.82254995013186e-9,-9.450327736937408e-9,7.320949776937657,7.204,-9.827727716067402e-9,9.827727716067402e-9,0.1999999965477322,1
0.039828268038504554,0.039828277160228735,-9.12172956038452e-9,0.0020095749595621837,-9.824546919592922e-9,-9.428340846374749e-9,9.857677673864133,9.725,-9.822967258038657e-9,9.822967258038657e-9,0.19999998788209422,2
0.03968666864519218,0.0396866779400361,-9.291936284521412e-9,0.001995487843061788,-9.82649944220006e-9,-9.404521714928425e-9,11.034747556543081,10.903,-9.817462301822242e-9,9.817462301822242e-9,0.1999999790519925,3
0.07350654011406624,0.0064379725047196065,-9.407149625207165e-9,0.0017704574685421806,-9.828408986445374e-9,-9.378631354656626e-9,11.670958944330382,11.487,-9.811140256436733e-9,9.811140256436733e-9,0.2637151182808718,4
0.0730994028216053,0.007003804010062978,-9.315880862940716e-9,0.0019135620354011566,-9.82840898680419e-9,-9.378631354656626e-9,11.601434165472565,11.409,-9.81114026275405e-9,9.81114026275405e-9,0.326505937151837,5
-9.828409304337294e-9,0.08000000249858115,-9.861280035749283e-9,0.0018982769282913639,10.170329414037278,-9.378631353836932e-9,9.83546873858537e-9,10.125,-9.854387071744618e-9,9.854387071744618e-9,0.2505059254411961,6
0.07014718476229245,0.009861700679429564,-9.284231670713057e-9,0.002040171567619268,-9.828408986442545e-9,-9.378631354656626e-9,11.878469251956243,12.173,-9.748767015871351e-9,0.48951391400294936,0.30777713531991585,7
0.06745095003683278,0.012479591032665556,-9.290785212533627e-9,0.0018020488788498593,-9.828408986998235e-9,-9.378631354656626e-9,9.591271286434544,14.443,-9.748768015072073e-9,5.02567609342504,0.3599999263738747,8
0.03694855338083311,0.04248220932857731,-9.289184388116949e-9,0.0018924618547761533,-9.823825970607614e-9,-9.378631354656625e-9,13.359473205879414,23.686,-9.757984642533302e-9,10.442963300513876,0.3547429532235177,9
-9.823826292554696e-9,0.08000000249129416,-9.858576069816436e-9,0.0018151785767123601,9.757692295165988,-9.37863135389037e-9,9.837879585345794e-9,24.863,-9.898045050249493e-9,15.142296781494087,0.27874294152415324,10
0.0660325774159652,0.013869331895063605,-9.306836690997528e-9,0.002296112482664625,-9.823825971516112e-9,-9.378631354656625e-9,7.705963217806009,25.781,-9.757986418890141e-9,18.275185768580798,0.32829802476900977,11
0.05650264805562844,0.023132225313872785,-9.327151714746736e-9,0.0020634754572274898,-9.823825969841258e-9,-9.378631354656625e-9,6.1178294033392,25.891,-9.75798997160382e-9,19.939533043045017,0.3599999263736776,12
0.03223830443203225,0.04739311411709033,-9.346806914154553e-9,0.001987198224267674,-9.818991418961535e-9,-9.378631354656628e-9,6.95796961227055,27.016,-9.766552011569729e-9,20.167972865038866,0.3456028571728725,13
0.02986422355241037,0.04978458020942964,-9.36321525211243e-9,0.002138981048587942,-9.818991414396884e-9,-9.378631354656628e-9,10.651249767505664,29.856,-9.766552011569729e-9,19.31948209766495,0.32667851834870415,14
0.009776713661514648,0.07024968033401613,-9.355142812315425e-9,0.0022822097915334147,-9.818991426523345e-9,-9.378631354656628e-9,10.15311207977485,27.105,-9.766552011569729e-9,17.0350838778121,0.26922920000982775,15
0.003561161019071671,0.07643396547477564,-9.347015201817725e-9,0.00210344522629613,-9.818991425139978e-9,-9.378631354656626e-9,11.30313012861471,24.591,-9.766552011569729e-9,13.347412465763924,0.200000035776909,16
0.07186363971759963,0.008158685152155879,-9.343984469464374e-9,0.002040694480622554,-9.823825970731357e-9,-9.378631354656625e-9,17.15395531318558,25.411,-9.757984642533302e-9,8.452273423213533,0.26051974261408056,17
0.008160569042651267,0.07186551040472469,-9.35411819630563e-9,0.001867422166499265,-9.823825971298695e-9,-9.378631354656625e-9,24.141104831580876,26.891,-9.757985530711721e-9,2.8065463941486306,0.2000000483201108,18
0.07746876943014096,0.0025041547772535243,-9.329251149764012e-9,0.0018097320493525514,-9.828408983989074e-9,-9.378631354656626e-9,27.64444742294463,27.45,-9.811140472756017e-9,9.811140472756017e-9,0.27121643224035386,19
0.0738659494816108,0.006195149681204445,-9.281810995314008e-9,0.0018714139996598002,-9.828408980411935e-9,-9.378631354656626e-9,29.626225956603534,29.435,-9.811140361548542e-9,9.811140361548542e-9,0.3355036920507399,20
0.05256059105594039,0.027102043137152018,-9.217545669045544e-9,0.0018460300368788054,-9.828408996642505e-9,-9.378631354656626e-9,28.2373378320365,28.09,-9.81113996008388e-9,9.81113996008388e-9,0.3596893125735888,21
-9.961058990649479e-9,0.08000000273266851,-9.962717720599061e-9,0.0018769611198885833,25.83692149559091,-9.95340418921663e-9,9.954985365309017e-9,25.793,-9.961489167911078e-9,9.961489167911078e-9,0.28368930051454766,22
-9.82841586848679e-9,0.08000000249453972,-9.857232041485306e-9,0.002095012221562892,18.882318127394832,-9.378631351228358e-9,9.835468737230937e-9,18.824,-9.854387071543102e-9,9.854387071543102e-9,0.2076892888077399,23
0.07689580595995073,0.003104669992483673,-9.367672511059585e-9,0.002105295395695193,-9.82840898641662e-9,-9.378631354656626e-9,8.987788593386322,8.775,-9.811140294681134e-9,9.811140294681134e-9,0.2777908679768336,24
0.06603312093824894,0.014032826704225116,-9.236982294699946e-9,0.001863502019147605,-9.82840898742613e-9,-9.378631354656626e-9,8.950033843171735,8.775,-9.811140266154065e-9,9.811140266154065e-9,0.32719114749915623,25
0.01043410006528716,0.0694291829052462,-9.039498782929327e-9,0.0018525012736738456,-9.828408985926625e-9,-9.378631354656626e-9,8.838312161034066,8.775,-9.811140282661582e-9,9.811140282661582e-9,0.27114581880119515,26
0.0025628840873570956,0.07745326490732093,-8.5346401136131e-9,0.002315468026135287,-9.82840898634794e-9,-9.378631354656626e-9,8.85298329060231,8.775,-9.811140300690528e-9,9.811140300690528e-9,0.1999999570222295,27
