Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
2.426111524009058,9.77688027200934,1.1945184999070042,0.8722527572710702,0.7141472437714103,3.155460530006056,2.074784842683655,7.204,-8.281194941617675e-13,8.281194941617675e-13,31.985872024817933,1
3.4502489977625475,8.527640106287521,0.969831918673004,1.1826415153740635,0.8212496124258936,3.1608009533966306,2.5843109429164772,9.725,-8.282666569254935e-13,8.282666569254935e-13,27.162350471719208,2
4.3997409541065045,7.1231289150380785,0.8289376050113108,1.3877104229109758,0.9016463161795252,3.1510702519596063,3.0217410446496245,10.903,-8.283816627777996e-13,8.283816627777996e-13,24.575131908834212,3
5.204844573343255,6.114159100564388,0.7303332556324438,1.825746244669449,0.9242112015101271,3.153516960354722,3.272655968723363,11.487,-8.285289863343201e-13,8.285289863343201e-13,23.711283107974136,4
6.0063078428017675,5.30313516152472,0.797603056386257,1.3521860799826684,0.9427771231789698,3.07525509847641,3.39650106640245,11.409,-8.286043451253053e-13,8.286043451253053e-13,24.37929715518733,5
4.977371269510138,6.423978933864148,0.6738111447282858,1.5494401548602657,1.0561620538047132,4.24906643903858,8.289435655944931e-13,10.125,-8.287023026306684e-13,8.287023026306684e-13,23.005019874051023,6
6.39318531278457,4.968034821310432,0.9485325469384281,1.648470404906878,0.9443005216656981,3.081674637600628,3.4132832770928494,12.173,0.18165852818638725,0.15763161737046885,24.358912840951454,7
6.757934576500203,4.714114642872243,0.9971192896140454,1.5660144837613577,0.9042007374406088,3.279512007771312,3.132927813001686,14.443,1.4823879877252137,2.0009908399918426,26.30054177789801,8
6.602192231770757,4.856130165143453,0.7532600512804131,0.9936099508744106,0.8562909484362499,4.106948349609867,3.3117677126090688,23.686,2.439139799737262,4.799049972142335,27.959300741193953,9
4.79706811639803,6.647646366544587,0.6067695670272611,4.573749479250855,0.8651177048955031,6.625099274560716,8.286439655918855e-13,24.863,2.867948442858327,7.62742672636709,26.20125140355473,10
7.139998131887514,4.473827831600735,0.9155548991489785,1.1949961653535603,0.7815658114935039,4.7062827145681725,2.678420643945252,25.781,4.03850380167394,8.628328299115356,28.73411318882717,11
6.98849226064882,4.568325358916842,0.9706690943458066,1.6527630136934474e-12,0.7691662637138555,4.813393076371218,2.464749339861697,25.891,4.531003041902855,9.289415553779751,31.033271745472547,12
6.828341432622777,4.642085504178025,0.9173231402375976,1.6020800544887166,0.7595972584064553,4.893708739575259,2.335582382532177,27.016,4.494078959451716,9.484675037490756,33.11021487749506,13
6.249631618481931,5.071105790945533,0.9635969974590453,1.5074545159794739,0.7679400618255487,5.289786055226956,2.8298763720631435,29.856,4.245917430309181,9.144733647668074,34.22981441365464,14
6.567641305318965,4.810962615400038,1.0394527700614782,1.258174902462829,0.7839743153615485,4.742906994712238,2.5982217693192835,27.105,3.745712503403512,8.061584561975081,35.89865916907761,15
6.705200189756127,4.706827967616656,1.1428192037623726,1.1596378106399319,0.8197175505685409,4.229485890634037,2.657581802387365,24.591,2.989176810920142,6.262134491263467,37.79711278011011,16
6.218687300621635,5.074106246905791,1.2602135036463615,6.334905036564885,0.8876820109029728,4.069892932613543,3.9256248839050545,25.411,2.1012529510923343,3.757156895522715,38.88446478114016,17
5.626607525042131,5.5531205162772785,1.0000032449812108,1.47675064041362,0.9508310578607687,3.9634913134702363,5.1842462137893754,26.891,0.8385445398137688,1.1067189613788728,38.95427743946677,18
5.82300526068149,5.34295442618642,1.1181478554034143,1.4051678136790773,1.002331571118065,3.705095817246472,6.998742090336362,27.45,-8.287604862722709e-13,8.287604862722709e-13,39.41032573223709,19
6.026388985281577,5.131464855755285,1.0187785989883025,1.392200488509037,1.0224270370035118,3.777237062036837,8.18643867300363,29.435,-8.287625628223465e-13,8.287625628223465e-13,40.26050365528707,20
6.586911899499966,4.66048840758725,1.1696347028569116,0.938980210372829,1.047157342909445,3.597714523351459,7.782600782699934,28.09,-8.287662655432491e-13,8.287662655432491e-13,42.090605972604145,21
3.940710724158707,7.005890080773373,1.8253962217449151,1.5815357252855575,1.4093860743032733,6.775231008552358,8.286343649010829e-13,25.793,-8.286998271393321e-13,8.286998271393321e-13,39.17868558382022,22
4.497277958023487,6.50124930336254,1.9477219885729453,1.9130399823197046,1.1811906903851275,5.153182629630195,8.287033702885193e-13,18.824,-8.286714019091864e-13,8.286714019091864e-13,37.274912805748116,23
7.310597301414492,4.1243402131641815,2.1583797490406615,1.5173682604202807,0.997805874626596,2.554716335385695,3.195904958120112,8.775,-8.287624668938208e-13,8.287624668938208e-13,40.30185703958591,24
6.245241244006473,4.7581961529491865,2.284344246292469,1.5903099530977913,0.976581959929835,2.595562141947264,3.167573272801973,8.775,-8.287051690831535e-13,8.287051690831535e-13,41.714549876090324,25
5.402904093007892,5.420019015102814,2.3975807212837768,2.0015243018276987,0.9689709414670497,2.6068329233431786,3.215429806077627,8.775,-8.286133045955211e-13,8.286133045955211e-13,41.69829070010015,26
4.20098761709919,7.073817474659142,2.339203825634063,1.425523068390987,0.995316916121401,2.53703922989578,3.3260343513504607,8.775,-8.285113316983166e-13,8.285113316983166e-13,38.9691023354182,27
