Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.03994319394625196,0.03994314104390992,-8.488421689960057e-9,0.0016849465882175765,-9.76563489490116e-9,-9.230458831174046e-9,7.302949789630884,7.186,-9.372097376703425e-9,9.372097376703425e-9,0.20000000727945444,1
0.039940086583013845,0.03994003831106056,-9.008841532970555e-9,0.0019115469127542715,-9.767675895583537e-9,-9.199677184343042e-9,9.806677733038102,9.674,-9.342969783572337e-9,9.342969783572337e-9,0.20000005313781005,2
0.07999995388608543,2.8922807323385203e-8,-9.255289621566685e-9,0.0018981469726685313,-9.769681656416779e-9,-9.166330400269478e-9,11.095747492317994,10.884,-9.312402577661032e-9,9.312402577661032e-9,0.2759999818529243,3
-9.768312237074657e-9,0.08000000241045656,-9.833252514638925e-9,0.001684093689588903,11.438890345310929,-9.130083893867655e-9,9.838758347646851e-9,11.402,-9.824050325651635e-9,9.824050325651635e-9,0.1999999702830939,4
0.06860926834025953,0.01123230770170673,-9.31964373078872e-9,0.0018202175458693923,-9.7716530791921e-9,-9.130083895833858e-9,11.510715529505966,11.327,-9.280338648720494e-9,9.280338648720494e-9,0.2545080828897191,5
0.06289348097900385,0.016824305601829806,-9.328294296655651e-9,0.0018056780537405647,-9.771653078337553e-9,-9.130083895833858e-9,10.217398624091187,10.046,-9.280338644498277e-9,9.280338644498277e-9,0.29827379949803445,6
0.05650731429767845,0.02310396402018837,-9.326171440824642e-9,0.0019406510033451584,-9.771653077936924e-9,-9.130083895833858e-9,11.806855640803175,12.063,-9.619271157390585e-9,0.4242453933062292,0.33000698226165,7
0.05563331022719215,0.024061792747662555,-9.328795220246205e-9,0.0017141440554913295,-9.771653079020329e-9,-9.130083895833858e-9,11.62304741340116,14.997,-9.619271601479795e-9,3.5245001202493844,0.3599999238672031,8
0.037026761020132734,0.04256500470953402,-9.302264747621909e-9,0.0018023446235963369,-9.765863442025289e-9,-9.130083895833858e-9,14.233403895363612,22.145,-9.634346653797365e-9,8.028028039402937,0.3547385923622719,9
-9.765864010569971e-9,0.0800000023974534,-9.822697591624848e-9,0.0017287415016308185,12.147044247650323,-9.130083893637929e-9,9.833725984228577e-9,24.25,-9.857263449930542e-9,12.139944835360986,0.2787385808071204,10
0.06602106855311271,0.013866560913549379,-9.299133898555224e-9,0.0021867737930139296,-9.7658634437629e-9,-9.13008389583386e-9,9.80420921771637,24.779,-9.634350206511044e-9,15.174931041514004,0.32828536306470557,11
0.056513103718876474,0.023129355505845207,-9.323523057609184e-9,0.0019652147211690375,-9.765863440794505e-9,-9.130083895833862e-9,9.415463193998564,26.121,-9.634348430154205e-9,16.871912576261835,0.35999992386708524,12
0.03326382519918594,0.046368368388090254,-9.347919896800702e-9,0.0018947703998831308,-9.75977257968359e-9,-9.130083895833858e-9,10.925469034109444,28.077,-9.648271515061424e-9,17.263523699679105,0.3475506078376262,13
0.03893396942678541,0.04066807977023778,-9.348399912257866e-9,0.002039493557955944,-9.759772579442902e-9,-9.130083895833858e-9,14.98115368691919,31.198,-9.648275067775103e-9,16.349764411737965,0.34590320301134647,14
0.03235828810421248,0.04727954127113806,-9.322429366070802e-9,0.002176060498903954,-9.759772575675313e-9,-9.130083895833858e-9,12.691015745183991,26.595,-9.648275067775103e-9,14.032731931601502,0.3317280125027672,15
0.010671346271423816,0.06933231868034974,-9.293322347989404e-9,0.002005610564607938,-9.759772586866749e-9,-9.130083895833858e-9,14.21479112668422,24.584,-9.648275067775103e-9,10.442963300404166,0.27600008871428755,16
-9.75977140345745e-9,0.08000000238713564,-9.818472434762774e-9,0.0019435185529738603,19.6179170642055,-9.130083888026938e-9,9.833725981863737e-9,25.669,-9.857262561752123e-9,6.102606682892736,0.20000007717472584,17
0.04007024645808429,0.040070237249836785,-9.284468391256465e-9,0.0017784973014278718,-9.76586344476446e-9,-9.13008389583386e-9,25.18793480961728,26.993,-9.63434687584197e-9,1.925421366367464,0.200000085922561,18
0.07716105628156918,0.0028338166373925084,-9.305874746154619e-9,0.0017214524371890131,-9.771653076612233e-9,-9.13008389583386e-9,27.682810048932325,27.489,-9.280338787467406e-9,9.280338787467406e-9,0.2706109635845288,19
0.07348819828411934,0.006557144987849069,-9.327377424609673e-9,0.0017801255118715185,-9.771653070770547e-9,-9.130083895833858e-9,29.713486210605797,29.523,-9.280338933436314e-9,9.280338933436314e-9,0.3341954642159855,20
0.04871143115934627,0.03093757917730413,-9.345475669164707e-9,0.0017559797911773992,-9.77165308809092e-9,-9.130083895833858e-9,28.273653137046153,28.134,-9.280338455993404e-9,9.280338455993404e-9,0.3510806235989256,21
0.0404128017305155,0.03918096653097309,-9.345291026640108e-9,0.0017854020408696286,-9.771653080000773e-9,-9.13008389583386e-9,26.0131533644174,25.888,-9.280338564847937e-9,9.280338564847937e-9,0.35225086703849084,22
0.04000226596592037,0.03959196483032634,-9.322410027102828e-9,0.001992816503437873,-9.771653078562728e-9,-9.130083895833858e-9,19.095728461083116,18.957,-9.28033860349002e-9,9.28033860349002e-9,0.35264065311730514,23
0.039887906630353055,0.03970640330549218,-9.388960693888922e-9,0.0020025980593198164,-9.771653078141168e-9,-9.130083895833858e-9,9.059178960680097,8.92,-9.280338614256282e-9,9.280338614256282e-9,0.35281308127592304,24
