Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,0.0,0.0,7.186,7.186,0.0,0.0,0.0,1
0.0,0.0,0.0,9.674,9.674,0.0,0.0,0.0,2
0.0,0.0,0.0,10.884,10.884,0.0,0.0,0.0,3
0.0,0.0,11.402,0.0,11.402,0.0,0.0,0.0,4
0.0,0.0,0.0,11.327,11.327,0.0,0.0,0.0,5
0.0,0.0,0.0,10.046,10.046,0.0,0.0,0.0,6
0.0,0.0,0.0,11.66052687951832,12.063,0.0,0.40247312048168077,0.0,7
0.0,0.0,0.0,11.653377152921422,14.997,0.0,3.3436228470785787,0.0,8
0.0,0.0,0.0,14.528970181654348,22.145,0.0,7.616029818345651,0.0,9
0.0,0.0,12.733076860062674,0.0,24.25,0.0,11.516923139937326,0.0,10
0.0,0.0,0.0,10.38284607507834,24.779,0.0,14.39615392492166,0.0,11
0.0,0.0,0.0,10.114953593151618,26.121,0.0,16.00604640684838,0.0,12
0.0,0.0,0.0,11.699439943476222,28.077,0.0,16.37756005652378,0.0,13
0.0,0.0,0.0,15.687305126052149,31.198,0.0,15.510694873947852,0.0,14
0.0,0.0,0.0,13.28242755329825,26.595,0.0,13.312572446701749,0.0,15
0.0,0.0,0.0,14.676969341989397,24.584,0.0,9.907030658010603,0.0,16
0.0,0.0,19.879578959225054,0.0,25.669,0.0,5.789421040774946,0.0,17
0.0,0.0,0.0,25.166391222429294,26.993,0.0,1.826608777570705,0.0,18
0.0,0.0,0.0,27.489,27.489,0.0,0.0,0.0,19
0.0,0.0,0.0,29.523,29.523,0.0,0.0,0.0,20
0.0,0.0,0.0,28.134,28.134,0.0,0.0,0.0,21
0.0,0.0,0.0,25.888,25.888,0.0,0.0,0.0,22
0.0,0.0,0.0,18.957,18.957,0.0,0.0,0.0,23
0.0,0.0,0.0,8.92,8.92,0.0,0.0,0.0,24
